id	datetime	debit	credit	reference	description
1	2014-09-30T04:48:44.743Z	10800	0	300-1	Starting capital
2	2014-09-30T04:59:57.692Z	0	4610	602-1	October rent
5	2014-10-01T18:29:46.042Z	0.02	0	400-2	Airbnb payment verification
6	2014-10-01T18:52:31.746Z	657.15	0	202-1	Prepaid Max October rent (15 days)
7	2014-10-04T15:10:39.126Z	0	139.64	600-3	Guest room bed spreads, lamp, pillows
8	2014-11-02T18:34:33.707Z	0	55.95	600-4	Groceries
9	2014-11-02T18:45:10.758Z	149	0	400-4	Airbnb: ...
10	2014-11-02T18:45:45.774Z	231	0	400-5	Airbnb: Leni1
11	2014-11-02T18:46:10.176Z	190	0	400-6	Airbnb: Scott
12	2014-11-02T18:46:38.296Z	147	0	400-7	Airbnb: Vanessa
13	2014-11-02T18:47:55.364Z	0	33.87	603-1	Comcast
14	2014-11-02T18:48:17.345Z	0	4600	602-2	November rent
15	2014-11-14T17:07:30.183Z	0	2734.71	105-1	Transfer to Wells Fargo
16	2014-11-14T17:29:13.312Z	2000	0	401-2	Mukul prepayment
17	2014-11-14T17:29:59.020Z	0	2000	105-5	
18	2014-11-14T17:44:37.995Z	500	0	400-11	Rent: Barak
19	2014-11-14T17:44:59.177Z	1410	0	400-12	Rent: Jose
20	2014-11-14T17:45:50.615Z	0	130	600-6	Splitwise: Max
21	2014-11-14T17:46:17.977Z	0	100	600-7	Splitwise: Bruce
