id	datetime	debit	credit	reference	description
1145d024	2014-10-01T19:29:13.569Z	136.92	0	200-6702a5c6	Splitwise: Yong Li
c46e3cfb	2014-10-04T15:10:39.126Z	139.64	0	100-123c8472	Guest room bed spreads, lamp, pillows
23b25ce4	2014-11-02T18:34:33.707Z	55.95	0	100-fc83bf29	Groceries
8bd677f9	2014-11-02T18:41:41.788Z	0	136.92	200-ced75b29	Pay Yong Li
71489c5f	2014-11-14T17:45:50.615Z	130	0	100-edc657fb	Splitwise: Max
381bc432	2014-11-14T17:46:17.977Z	100	0	100-a1cb928d	Splitwise: Bruce
4b4897c2	2014-11-22T20:06:00.857Z	320	0	100-0cd2d047	House scan
195754f0	2014-11-24T18:55:20.272Z	994.43	0	100-406c4026	Splitwise settlement: November
c89a11ec	2014-11-24T19:10:46.048Z	0	314.21		PP&E
523394e6	2014-11-25T23:45:35.005Z	18.05	0	100-06b764c0	House groceries
